"Rank","Title","Band","Country","Year","Compilation","Live","YearRank","DecadeRank","OverallRank","RankScore","AvgRating","NumRatings","AlbumID","Notes","Buy"
"815","Out Of The Trees","Dif Juz","uk","1986","Yes","No","815","8154","70354","5","75.087585449","3","97777","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=97777&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"816","After Your Brain","Raw Power","it","1986","No","No","816","8167","70423","5","74.318367004","3","69351","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=69351&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"817","Unveiling The Wicked","Exciter","ca","1986","No","No","817","8175","70487","5","70.081336975","4","72066","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=72066&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"818","Do Me Baby","Meli'Sa Morgan","us","1986","No","No","818","8182","70547","5","74.19443512","1","153393","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=153393&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"818","Bombers' Moon","Mike Harding","uk","1986","No","No","818","8182","70547","5","-1","0","200741","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=200741&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"818","Henk / Kilo","The Nits","nl","1986","Yes","No","818","8182","70547","5","72.594894409","2","79763","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=79763&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"821","The Adventures Of Chatran","Ryuichi Sakamoto","jp","1986","No","No","821","8206","70733","5","72.010673523","3","154343","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=154343&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"822","Scriabin: Symphony No. 1","Riccardo Muti / Philadelphia Orchestra","us","1986","No","No","822","8209","70788","5","75.103523254","1","156782","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=156782&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"823","El Alma De La Estrella","Diseño Corbusier","es","1986","No","No","823","8230","70975","5","73.285339355","1","72568","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=72568&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"823","The Message","Chi Coltrane","us","1986","No","No","823","8230","70975","5","-1","0","200817","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=200817&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"823","Roadhouse","The Flamin' Groovies","us","1986","No","No","823","8230","70975","5","72.010673523","3","138719","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=138719&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"823","Daring Adventures","Richard Thompson","uk","1986","No","No","823","8230","70975","5","75.066978455","7","114966","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=114966&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"823","Atavachron","Allan Holdsworth","uk","1986","No","No","823","8230","70975","5","73.164520264","3","106066","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=106066&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"828","Rrröööaaarrr","Voïvod","ca","1986","No","No","828","8259","71250","5","71.729934692","8","103398","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=103398&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
